,REGNO
1725,21101007
1423,21101009
1658,21101015
779,21101017
375,21101051
1050,21101068
2227,21101075
495,21101081
493,21101083
1159,21103057
1589,21103126
1991,21104014
1394,21104023
183,21107003
1841,21107023
2060,21107026
2061,21107028
262,21107031
1840,21108006
1678,21109009
1527,21109023
1774,21113016
814,21113033
819,21113042
1775,21113066\
1768,21113135
290,21117019
484,21117020
71,21120041
2194,21121015
1822,21121039
1821,21121040
2192,21121048
1967,21121057
2226,21121064
2031,21121069
2058,21121075
1701,21121076
1697,21121077
2193,21121078
1563,21127017
297,21129015
298,21129019
1520,21130001
520,21130005
1521,21130040
2300,21130054
1990,21130062
80,21130067
1834,21132001
2069,21132004
2238,21132005
2240,21132007
1561,21132018
2242,21132019
2239,21132024
2241,21132025
2243,21132042
1605,21134031
1492,21135013
1494,21135018
1040,21136011
2070,21137018
858,21137028
1333,21137032
1056,21137052
1053,21137073
507,21139003
436,21139006
510,21139010
508,21139011
473,21139012
1835,21205001
1832,21312090
1721,21318015
1425,2132036
1458,21341001
468,21501002
1038,21501015
1045,21501016
1686,21502004
1684,21502010
1079,21502012
1688,21502014
1037,21502022
2118,2210
664,22101005
230,22101008
1439,22101014
393,22101022
92,22101028
807,22101037
660,22101047
91,22101049
1710,22101057
665,22101058
1166,22101063
787,22101072
822,22101075
828,22101084
189,22101091
28,22101093
1760,22101097
1687,22101100
1892,22101104
655,22101105
465,22101106
652,22101107
550,22102002
2123,22102003
1105,22102008
433,22102017
554,22102025
60,22102027
551,22102028
1211,22102071
2164,22102075
567,22102089
1726,22102098
471,22102100
530,22112001
184,22112005
1225,22112006
181,22112009
790,22112012
106,22112020
352,22112023
1002,22112030
1001,22112031
110,22112038
777,22112040
593,22112051
935,22112054
532,22112056
706,22112060
1552,22112067
911,22112090
1547,22112142
1746,22112145
525,22112164
31,22112165
1553,22112171
535,22112178
528,22112179
1524,22112181
1818,22112182
37,22112184
1523,22112185
1266,22112188
1624,22112194
576,22112196
1507,22112201
9,22112202
1074,22112216
1893,22112219
1914,22112220
163,22112224
51,22112226
45,22112227
1817,22112228
575,22112231
1778,22112232
1575,22112235
1291,22112236
920,22112241
1440,22112244
1933,22112249
1508,22112250
915,22112251
1510,22112252
1931,22112255
1935,22112256
1192,22112263
1919,22112264
1513,22112271
1982,22112272
1972,22112274
1090,22112277
1891,22112278
1506,22112282
982,22112287
1511,22112294
1911,22112348
1637,22112353
1912,22112362
1951,22112371
2128,22112375
354,22112377
1226,22112380
1189,22112397
195,22112405
2206,22112406
2160,22112411
2299,22112412
2302,22112414
748,22118003
1469,22118009
485,22118017
2026,22118018
483,22118021
505,22118022
1957,22119006
590,22119011
1349,22119012
1350,22119015
859,22119022
1103,22119025
1922,22119028
1793,22119029
1855,22119042
1779,22119078
